participant_id,trial,choice,reward,p_choice,nll
134,67,0,1.0,0.9584284716542039,0.04246034457556238
134,68,0,1.0,0.9677735958352706,0.03275710766065807
134,69,0,0.0,0.97113747689136,0.029287237919342263
134,70,0,1.0,0.7513304334960144,0.2859097326449108
134,71,0,0.0,0.9260820515745809,0.07679243964853061
134,72,1,0.0,0.3360976717968163,1.090353471386595
134,73,0,0.0,0.7479128403816706,0.2904688313496358
134,74,0,0.0,0.5726916213080006,0.5574078898464966
134,75,1,1.0,0.51225103998817,0.6689404616276682
134,76,1,1.0,0.9115851162325921,0.09257030882420317
134,77,1,1.0,0.964964994643652,0.035663453280739325
134,78,1,1.0,0.9767617688723231,0.023512496106673466
134,79,1,0.0,0.9805503178715768,0.019641316077505692
134,80,1,1.0,0.8233756080452075,0.19434279354126432
134,81,1,0.0,0.9513986228100725,0.04982214252434307
134,82,0,0.0,0.24371275919334087,1.4117649635691079
134,83,1,1.0,0.7823633102146397,0.24543605525724868
134,84,1,1.0,0.9500871809760888,0.051201529148541744
134,85,1,1.0,0.9749936650189699,0.02532430542081369
134,86,1,1.0,0.9815080695322734,0.01866504366592571
134,87,1,0.0,0.983768681492657,0.01636448934833589
134,88,1,0.0,0.8458492008038637,0.16741418490390989
134,89,0,1.0,0.33870105777586557,1.082637396113788
134,90,0,1.0,0.8489986811251579,0.16369764611586224
134,91,0,1.0,0.9403316904887804,0.06152260373614984
134,92,0,0.0,0.960864654289959,0.03992171833741478
134,93,0,1.0,0.7175661116477093,0.3318901939224689
134,94,0,1.0,0.9180177961387382,0.08553850277641295
134,95,0,1.0,0.9549465525092936,0.04609990602536722
134,96,0,1.0,0.9653871216809905,0.035226095722502224
134,97,0,0.0,0.9691232450089863,0.03136348734625431
134,98,0,1.0,0.7384766223243578,0.3031658331307667
134,99,0,1.0,0.921373853926459,0.08188940334543286
134,100,0,1.0,0.9557802499776338,0.0452272563926092
134,101,0,0.0,0.9656670562581433,0.03493616643692186
134,102,0,1.0,0.7292627805710836,0.31572114474909396
134,103,0,1.0,0.9198908768396379,0.08350022810376746
134,104,0,1.0,0.9554097610220246,0.045614961391188466
134,105,0,1.0,0.9655423105036323,0.035065355697114386
134,106,0,0.0,0.9691831027136765,0.03130172445229332
134,107,0,0.0,0.7386429371262598,0.3029406451268025
134,108,1,1.0,0.49939715348936303,0.6943536010118134
134,109,1,0.0,0.8820709738826514,0.12548275695698205
134,110,1,1.0,0.603416378435453,0.5051478090450909
134,111,1,1.0,0.8996899677645315,0.10570505526530148
134,112,1,0.0,0.9505914445299861,0.050670914915329254
134,113,1,1.0,0.6955396704760257,0.36306723045732997
134,114,1,1.0,0.9144031682531145,0.08948370166270658
134,115,1,1.0,0.9540066512118398,0.04708463563693855
134,116,1,1.0,0.9650284782096888,0.035597666979435644
134,117,1,1.0,0.9689441510217421,0.031548304435815314
134,118,1,1.0,0.970494955640326,0.0299490740771253
134,119,1,1.0,0.9711387521696622,0.0292859247402145
134,120,1,0.0,0.9714114923832781,0.029005118396931918
134,121,1,0.0,0.7447547316302201,0.294700334094097
134,122,0,0.0,0.49630968919976015,0.7005551737085468
134,123,0,0.0,0.38683036881662114,0.9497690055128467
134,124,1,1.0,0.6575673791125439,0.419208042441472
134,125,1,1.0,0.9344587577035264,0.0677877860678718
134,126,1,1.0,0.9712439670674524,0.029177588832104303
134,127,1,1.0,0.9799788166130542,0.02022432325108678
134,128,1,1.0,0.9828817405840174,0.01726647066521318
134,129,1,1.0,0.9839994461250339,0.016129944810088948
134,130,1,0.0,0.9844578904347742,0.015664154356301686
134,131,1,1.0,0.8458118439016551,0.16745835084640953
134,132,1,1.0,0.9572556028109683,0.043684835612905884
134,133,1,1.0,0.9761999065605327,0.024087891245615046
134,134,1,0.0,0.9815542377006875,0.018618006780491733
134,135,1,1.0,0.8357815550789748,0.17938799779286718
134,136,1,1.0,0.9559166436865116,0.04508456252773848
134,137,1,1.0,0.9758754984052495,0.024420263814260847
134,138,1,1.0,0.981445890398168,0.018728396281825457
134,139,1,1.0,0.9834344143190631,0.01670432937555247
134,140,1,0.0,0.9842239698327154,0.015901796209848888
