subject,trial,choice,reward
104,17,0,1
104,18,0,1
104,19,0,1
104,20,0,1
104,21,0,1
104,22,0,1
104,23,0,1
104,24,0,1
104,25,0,0
104,26,0,1
104,27,0,0
104,28,0,1
104,29,0,1
104,30,0,1
104,31,0,1
104,32,0,1
104,33,0,1
104,34,0,0
104,35,0,1
104,36,0,1
104,37,0,0
104,38,0,0
104,39,0,0
104,40,1,1
104,41,1,0
104,42,0,0
104,43,1,1
104,44,1,1
104,45,1,1
104,46,1,1
104,47,1,1
104,48,1,1
104,49,1,0
104,50,0,0
104,51,1,1
104,52,1,0
104,53,0,0
104,54,0,0
104,55,1,1
104,56,1,0
104,57,1,0
104,58,1,1
104,59,0,1
104,60,0,1
104,61,0,1
104,62,1,0
104,63,0,1
104,64,0,0
104,65,1,0
104,66,0,1
104,67,1,0
104,68,0,0
104,69,1,0
104,70,0,1
104,71,0,0
104,72,0,0
104,73,0,0
104,74,0,1
104,75,0,0
104,76,0,0
104,77,0,0
104,78,0,0
104,79,1,0
104,80,0,0
104,81,0,0
104,82,0,1
104,83,0,0
104,84,0,0
104,85,0,0
104,86,0,1
104,87,0,0
104,88,0,1
104,89,0,1
104,90,1,0
104,91,0,1
104,92,0,1
104,93,0,0
104,94,0,1
104,95,0,1
104,96,0,1
104,97,0,1
104,98,0,1
104,99,0,0
104,100,0,1
104,101,0,1
104,102,0,1
104,103,0,1
104,104,0,1
104,105,0,0
104,106,0,0
104,107,0,0
104,108,1,1
104,109,1,1
104,110,1,0
104,111,0,0
104,112,1,1
104,113,0,1
104,114,1,1
104,115,0,0
104,116,1,1
104,117,0,0
104,118,1,0
104,119,1,1
104,120,0,0
104,121,0,1
104,122,1,1
104,123,1,1
104,124,0,0
104,125,1,1
104,126,0,0
104,127,0,0
104,128,1,1
104,129,0,0
104,130,1,0
104,131,1,1
104,132,1,1
104,133,1,1
104,134,1,1
104,135,0,1
104,136,1,1
104,137,0,0
104,138,1,1
104,139,1,1
104,140,1,0
106,1,1,1
106,2,1,0
106,3,1,0
106,4,0,1
106,5,0,1
106,6,0,0
106,7,0,1
106,8,0,1
106,9,0,1
106,10,0,1
106,11,0,1
106,12,0,1
106,13,0,0
106,14,0,1
106,15,0,1
106,16,0,1
106,17,0,0
106,18,0,1
106,19,0,1
106,20,0,1
106,21,0,1
106,22,0,0
106,23,0,1
106,24,0,1
106,25,0,1
106,26,0,1
106,27,0,0
106,28,0,1
106,29,0,1
106,30,0,1
106,31,0,1
106,32,0,1
106,33,0,1
106,34,0,1
106,35,0,0
106,36,0,1
106,37,0,0
106,38,1,1
106,39,1,1
106,40,1,1
106,41,1,1
106,42,1,0
106,43,1,1
106,44,1,1
106,45,1,1
106,46,1,1
106,47,1,0
106,48,1,1
106,49,1,1
106,50,1,1
106,51,1,1
106,52,1,1
106,53,1,0
106,54,1,1
106,55,1,1
106,56,1,0
106,57,1,0
106,58,0,1
106,59,0,0
106,60,0,1
106,61,0,1
106,62,0,1
106,63,0,1
